seqnames	start	end	width	strand	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	transcriptId	distanceToTSS
chr1	3670530	3670781	252	*	Promoter (<=1kb)	1	3214482	3671498	457017	2	497097	ENSMUST00000070533.4	717
chr1	3671180	3671468	289	*	Promoter (<=1kb)	1	3214482	3671498	457017	2	497097	ENSMUST00000070533.4	30
chr1	3671780	3672599	820	*	Promoter (<=1kb)	1	3214482	3671498	457017	2	497097	ENSMUST00000070533.4	-282
chr1	4491655	4493849	2195	*	Promoter (<=1kb)	1	4492465	4493735	1271	2	20671	ENSMUST00000191939.1	0
chr1	4496767	4497741	975	*	Promoter (<=1kb)	1	4491390	4497354	5965	2	20671	ENSMUST00000192650.5	0
chr1	4571286	4571730	445	*	Distal Intergenic	1	4491390	4497354	5965	2	20671	ENSMUST00000192650.5	-73932
chr1	4571920	4572260	341	*	Distal Intergenic	1	4491390	4497354	5965	2	20671	ENSMUST00000192650.5	-74566
chr1	4688208	4688347	140	*	Exon (ENSMUST00000182774.1/ENSMUST00000182774.1, exon 1 of 1)	1	4783572	4785692	2121	2	27395	ENSMUST00000132625.1	97345
chr1	4688466	4688733	268	*	Exon (ENSMUST00000182774.1/ENSMUST00000182774.1, exon 1 of 1)	1	4783572	4785692	2121	2	27395	ENSMUST00000132625.1	96959
chr1	4689158	4689438	281	*	Exon (ENSMUST00000182774.1/ENSMUST00000182774.1, exon 1 of 1)	1	4783572	4785692	2121	2	27395	ENSMUST00000132625.1	96254
chr1	5017976	5021081	3106	*	Promoter (<=1kb)	1	4909576	5019539	109964	2	58175	ENSMUST00000002533.14	0
chr1	5023358	5023815	458	*	Intron (ENSMUST00000118000.7/58175, intron 1 of 5)	1	4909576	5019539	109964	2	58175	ENSMUST00000002533.14	-3819
chr1	5916231	5917569	1339	*	Promoter (<=1kb)	1	5913707	5917398	3692	2	226304	ENSMUST00000044180.4	0
chr1	6358790	6359622	833	*	Promoter (<=1kb)	1	6359218	6394731	35514	1	620393	ENSMUST00000133144.3	0
chr1	6382627	6383150	524	*	Exon (ENSMUST00000192950.1/ENSMUST00000192950.1, exon 1 of 1)	1	6359218	6394731	35514	1	620393	ENSMUST00000133144.3	23409
chr1	6383237	6383364	128	*	Intron (ENSMUST00000133144.3/620393, intron 1 of 4)	1	6359218	6394731	35514	1	620393	ENSMUST00000133144.3	24019
chr1	6441018	6441284	267	*	Exon (ENSMUST00000194240.1/ENSMUST00000194240.1, exon 1 of 2)	1	6487231	6860934	373704	1	240690	ENSMUST00000140079.7	-45947
chr1	6441654	6441828	175	*	Distal Intergenic	1	6487231	6860934	373704	1	240690	ENSMUST00000140079.7	-45403
chr1	9298644	9300230	1587	*	Promoter (<=1kb)	1	8361475	9298864	937390	2	71096	ENSMUST00000191683.5	0
chr1	9545435	9545813	379	*	Promoter (<=1kb)	1	9545408	9547455	2048	1	59014	ENSMUST00000072079.8	27
chr1	9545899	9546138	240	*	Promoter (<=1kb)	1	9545408	9547455	2048	1	59014	ENSMUST00000072079.8	491
chr1	9797697	9798038	342	*	Promoter (<=1kb)	1	9798107	9900843	102737	1	170755	ENSMUST00000166384.7	-69
chr1	9798431	9798771	341	*	Promoter (<=1kb)	1	9798208	9900008	101801	1	170755	ENSMUST00000188298.6	223
chr1	9848456	9849037	582	*	Promoter (<=1kb)	1	9848397	9899853	51457	1	170755	ENSMUST00000097826.5	59
chr1	9908666	9909158	493	*	Promoter (<=1kb)	1	9908668	9940452	31785	1	240697	ENSMUST00000125294.8	0
chr1	9966829	9967606	778	*	Promoter (<=1kb)	1	9960163	9967932	7770	2	100039596	ENSMUST00000185184.1	326
chr1	9967670	9968494	825	*	Promoter (<=1kb)	1	9960163	9967932	7770	2	100039596	ENSMUST00000185184.1	0
chr1	10231779	10232581	803	*	Promoter (<=1kb)	1	10137571	10232670	95100	2	211673	ENSMUST00000088615.10	89
