seqnames	start	end	width	strand	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	transcriptId	distanceToTSS
chr1	3671176	3671486	311	*	Promoter (<=1kb)	1	3214482	3671498	457017	2	497097	ENSMUST00000070533.4	12
chr1	4571534	4572066	533	*	Distal Intergenic	1	4491390	4497354	5965	2	20671	ENSMUST00000192650.5	-74180
chr1	5019337	5019724	388	*	Promoter (<=1kb)	1	4909576	5019539	109964	2	58175	ENSMUST00000002533.14	0
chr1	6382864	6383128	265	*	Exon (ENSMUST00000192950.1/ENSMUST00000192950.1, exon 1 of 1)	1	6359218	6394731	35514	1	620393	ENSMUST00000133144.3	23646
chr1	9699239	9700284	1046	*	Promoter (<=1kb)	1	9667415	9700209	32795	2	17864	ENSMUST00000088658.10	0
chr1	9796315	9796576	262	*	Promoter (1-2kb)	1	9798107	9900843	102737	1	170755	ENSMUST00000166384.7	-1531
chr1	9847747	9848098	352	*	Promoter (<=1kb)	1	9848272	9900843	52572	1	170755	ENSMUST00000171265.7	-174
chr1	9848231	9848951	721	*	Promoter (<=1kb)	1	9848272	9900843	52572	1	170755	ENSMUST00000171265.7	0
chr1	9966945	9968456	1512	*	Promoter (<=1kb)	1	9960163	9967932	7770	2	100039596	ENSMUST00000185184.1	0
chr1	10008916	10009345	430	*	Promoter (<=1kb)	1	9968624	10009136	40513	2	69312	ENSMUST00000027049.9	0
chr1	10233090	10233980	891	*	Promoter (<=1kb)	1	10173075	10232670	59596	2	211673	ENSMUST00000131556.1	-420
chr1	10993498	10994036	539	*	Promoter (<=1kb)	1	10993465	11303681	310217	1	109294	ENSMUST00000027056.11	33
chr1	12992237	12992389	153	*	Promoter (<=1kb)	1	12866549	12992650	126102	2	240726	ENSMUST00000188454.6	261
chr1	12992435	12992736	302	*	Promoter (<=1kb)	1	12866549	12992650	126102	2	240726	ENSMUST00000188454.6	0
chr1	13374030	13375030	1001	*	Promoter (<=1kb)	1	13139159	13374083	234925	2	17978	ENSMUST00000068304.12	0
